"chemical_input_pkey","study_year","treatment_fkey","treatment","treatment_long","crop","blocks","chemical_purpose","application_timing","application_date","application_mode","trade_name","active_ingredient","active_ingredient_concentration_value","active_ingredient_concentration_unit","application_rate_value_active_ingredient","application_rate_unit_active_ingredient","reference_chemical","application_rate_of_reference_chemical_value","application_rate_of_reference_chemical_unit","tractor","implement","original_entry","comment"
122,"2012",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","pre-emergence",2012-05-12,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook on CC, C2 and S2 plots : Also sprayed Heaton's corn.  Carrier volume was 18 gpa. 													
	Foxtail 5-7"" tall, WH 5-12"" tall,  LQ 5-15"" tall",NA
123,"2012",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","pre-emergence",2012-05-12,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook on CC, C2 and S2 plots : Also sprayed Heaton's corn.  Carrier volume was 18 gpa. 													
	Foxtail 5-7"" tall, WH 5-12"" tall,  LQ 5-15"" tall",NA
124,"2012",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","pre-emergence",2012-05-12,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook on CC, C2 and S2 plots : Also sprayed Heaton's corn.  Carrier volume was 18 gpa. 													
	Foxtail 5-7"" tall, WH 5-12"" tall,  LQ 5-15"" tall",NA
125,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","post-emergence",2012-06-12,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",120,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN to corn plots: 100 lb N/acre to CC and E Heaton corn, 120 lb N/a on C2 and CCW - 6 row unit with one injector between alternate row middles.",NA
126,"2012",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","post-emergence",2012-06-12,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",100,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN to corn plots: 100 lb N/acre to CC and E Heaton corn, 120 lb N/a on C2 and CCW - 6 row unit with one injector between alternate row middles.",NA
127,"2012",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","post-emergence",2012-06-12,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",120,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN to corn plots: 100 lb N/acre to CC and E Heaton corn, 120 lb N/a on C2 and CCW - 6 row unit with one injector between alternate row middles.",NA
128,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2012-06-12,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,"unspecified planter (6-row)","Spray 28 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn plots + Dani's corn: used 16.2 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
129,"2012",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2012-06-12,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,"unspecified planter (6-row)","Spray 28 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn plots + Dani's corn: used 16.2 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
130,"2012",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2012-06-12,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Spray 28 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn plots + Dani's corn: used 16.2 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
131,"2012",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2012-06-15,"broadcast","Ammonium sulfate salt (AMS)","ammonium sulfate ((NH4)2SO4)",NA,NA,2,"lb_per_ac",NA,NA,NA,NA,NA,"Soybean plots: spray 28 oz./ac Roundup PowerMax (49% glyphosate) + 1 qt/100 gal Formula One + 2 lb/ac AMS salt; carrier volume 16 gpa",NA
132,"2012",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","adjuvant","post-emergence",2012-06-15,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",1,"quart_per_100_gallons",16,"gal_per_ac",NA,NA,NA,NA,NA,"Soybean plots: spray 28 oz./ac Roundup PowerMax (49% glyphosate) + 1 qt/100 gal Formula One + 2 lb/ac AMS salt; carrier volume 16 gpa",NA
133,"2012",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2012-06-15,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",28,"oz_per_ac",NA,NA,NA,NA,NA,"Soybean plots: spray 28 oz./ac Roundup PowerMax (49% glyphosate) + 1 qt/100 gal Formula One + 2 lb/ac AMS salt; carrier volume 16 gpa",NA
134,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","soil_conditioner","pre-emergence",2013-01-24,NA,"Ag lime","calcium carbonate (CaCO3)",1040,"effective_calcium_carbonate_equivalent",5.82,"t_per_ac","calcium carbonate (CaCO3)",3.03,"t_per_ac",NA,NA,"Corn and soybean pots - Applied 5.82 ton/ac Ag lime = 3.03 ton/ac ECCE  (Lime ECCE was 1,040).  Also applied to E Heaton's corn plots.  None applied to prairie or switchgrass plots.															
   Four passes (perpendicular across each block going east and west) were at 25, 75, 125, and 175'",NA
135,"2013",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","soil_conditioner","pre-emergence",2013-01-24,NA,"Ag lime","calcium carbonate (CaCO3)",1040,"effective_calcium_carbonate_equivalent",5.82,"t_per_ac","calcium carbonate (CaCO3)",3.03,"t_per_ac",NA,NA,"Corn and soybean pots - Applied 5.82 ton/ac Ag lime = 3.03 ton/ac ECCE  (Lime ECCE was 1,040).  Also applied to E Heaton's corn plots.  None applied to prairie or switchgrass plots.															
   Four passes (perpendicular across each block going east and west) were at 25, 75, 125, and 175'",NA
136,"2013",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","soil_conditioner","pre-emergence",2013-01-24,NA,"Ag lime","calcium carbonate (CaCO3)",1040,"effective_calcium_carbonate_equivalent",5.82,"t_per_ac","calcium carbonate (CaCO3)",3.03,"t_per_ac",NA,NA,"Corn and soybean pots - Applied 5.82 ton/ac Ag lime = 3.03 ton/ac ECCE  (Lime ECCE was 1,040).  Also applied to E Heaton's corn plots.  None applied to prairie or switchgrass plots.															
   Four passes (perpendicular across each block going east and west) were at 25, 75, 125, and 175'",NA
137,"2013",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","soil_conditioner","pre-emergence",2013-01-24,NA,"Ag lime","calcium carbonate (CaCO3)",1040,"effective_calcium_carbonate_equivalent",5.82,"t_per_ac","calcium carbonate (CaCO3)",3.03,"t_per_ac",NA,NA,"Corn and soybean pots - Applied 5.82 ton/ac Ag lime = 3.03 ton/ac ECCE  (Lime ECCE was 1,040).  Also applied to E Heaton's corn plots.  None applied to prairie or switchgrass plots.															
   Four passes (perpendicular across each block going east and west) were at 25, 75, 125, and 175'",NA
138,"2013",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2013-04-26,"broadcast","UAN","urea ammonium nitrate",28,"percent",25.2,"gal_per_ac","nitrogen (N)",75,"lb_per_ac",NA,"unspecified mounted sprayer (30-foot wide)","UAN (28%) applied: 75 lb/acre N (25.2 gal UAN/ac) on PF plots.  Used JD 6400 with computerized flow meter, 30-ft wide boom",NA
139,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2013-05-07,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",22,"oz_per_ac",NA,NA,NA,NA,NA,"On each CCW plot: - spray 22 oz./ac ""Roundup PowerMax"" (49% glyphosate) in 18 gpa carrier volume","18 gpa carrier volume"
140,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2013-05-17,"injection","UAN","urea ammonium nitrate",32,"percent",22.6,"gal_per_ac","nitrogen (N)",80,"lb_per_ac",NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13",NA
141,"2013",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2013-05-17,"injection","UAN","urea ammonium nitrate",32,"percent",22.6,"gal_per_ac","nitrogen (N)",80,"lb_per_ac",NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13",NA
142,"2013",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2013-05-17,"injection","UAN","urea ammonium nitrate",32,"percent",22.6,"gal_per_ac","nitrogen (N)",80,"lb_per_ac",NA,NA,"Plant corn  - Pioneer P0448XR (104-d) @ 32,400 sds/a.  - with 22.6 gal/a of 32% UAN (80 lb/a N) - injected at 3"" depth; 4"" to side of each row. (no-till) Corn emerged 5-24-13",NA
143,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"spot_spray","Callisto","mesotrione",NA,NA,NA,NA,NA,NA,NA,NA,NA,"In all COBS corn plots: spot treated glyphosate-resistant waterhemp with Callisto using a backpack sprayer",NA
144,"2013",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"spot_spray","Callisto","mesotrione",NA,NA,NA,NA,NA,NA,NA,NA,NA,"In all COBS corn plots: spot treated glyphosate-resistant waterhemp with Callisto using a backpack sprayer",NA
145,"2013",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"spot_spray","Callisto","mesotrione",NA,NA,NA,NA,NA,NA,NA,NA,NA,"In all COBS corn plots: spot treated glyphosate-resistant waterhemp with Callisto using a backpack sprayer",NA
146,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Sprayed 32 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn and soybean plots: used 16 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
147,"2013",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Sprayed 32 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn and soybean plots: used 16 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
148,"2013",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Sprayed 32 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn and soybean plots: used 16 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
149,"2013",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","herbicide","post-emergence",2013-06-18,"broadcast_below_canopy","Roundup PowerMAX","glyphosate",49,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"Sprayed 32 oz/ac Roundup PowerMax (49% glyphosate) to all COBS corn and soybean plots: used 16 gpa carrier volume.  Directed band units to broadcast spray below corn canopy.",NA
150,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 3","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",20,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
151,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","2, 4","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",140,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
152,"2013",2,"CC","continuous_corn_stover_removed","corn","1, 3","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",60,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
153,"2013",2,"CC","continuous_corn_stover_removed","corn","2, 4","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",140,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
154,"2013",1,"C2","corn_soy_rotation","corn","1, 3","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",90,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
155,"2013",1,"C2","corn_soy_rotation","corn","2, 4","fertilizer","post-emergence",2013-06-28,"injection","UAN","urea ammonium nitrate",32,"percent",NA,NA,"nitrogen (N)",140,"lb_per_ac",NA,"unspecified planter (6-row)","Applied 32% UAN (6 row unit with one injector dropping UAN between alternate row middles): Blocks 1 & 3: 90 lb N/ac to C2, 60 lb N/ac on CC and 20 lb/ac on CCW.   Blocks 2 and 4: 140 lb N/ac to all corn plots.","Dietzel 2014 gives different values, possibly the average across plots. 2014 Nichols: The large range is due to 2013, the year following a severe drought year, when two of the field replications showed very high levels of soil nitrate, and thus required very low post-emergence application of nitrogen fertilizer."
156,"2013",6,"S2","soy_corn_rotation","soybean","1, 2, 3, 4","insecticide","post-emergence",2013-07-19,"broadcast","Warrior II","lambda-cyhalothrin",NA,NA,1.8,"oz_per_ac",NA,NA,NA,NA,"Spra-Coupe 4660 self-propelled sprayer (60-foot wide boom)","Sprayed Warrior II insecticide on all soybean plots (1.8 oz/a) with Spray Coup self-propelled spayer - 60'-wide boom",NA
157,"2014",5,"PF","prairie_fertilized","prairie_fertilized","1, 2, 3, 4","fertilizer","post-emergence",2014-04-11,"broadcast","UAN","urea ammonium nitrate",32,"percent",21.2,"gal_per_ac","nitrogen (N)",75,"lb_per_ac","John Deere 6400","unspecified mounted sprayer (30-foot wide)","UAN (32%) applied: 75 lb/acre N (21.2 gal UAN/ac) on PF plots.  Used JD 6400 with computerized flow meter, 30-ft wide boom","21.2 gal UAN/ac"
158,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","adjuvant","pre-emergence",2014-05-08,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",NA,NA,16,"oz_per_ac",NA,NA,NA,NA,NA,"On each CCW plot: - Carl Pederson sprayed 32 oz./ac ""Roundup PowerMax"" (49% glyphosate) and 16 oz/ac Formula 1 liquid adjuvant using 20 gal/ac water carrier","20 gal/ac water carrier"
159,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","pre-emergence",2014-05-08,"broadcast","Roundup PowerMAX","glyphosate",49,"percent",32,"oz_per_ac",NA,NA,NA,NA,NA,"On each CCW plot: - Carl Pederson sprayed 32 oz./ac ""Roundup PowerMax"" (49% glyphosate) and 16 oz/ac Formula 1 liquid adjuvant using 20 gal/ac water carrier","20 gal/ac water carrier"
160,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","fertilizer","pre-emergence",2014-05-20,"injection","UAN","urea ammonium nitrate",32,"percent",250.22,"gal_per_ac","nitrogen (N)",74.8,"lb_per_ac","John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.","application rate value probably a typo - MS 3/26/24"
161,"2014",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","fertilizer","pre-emergence",2014-05-20,"injection","UAN","urea ammonium nitrate",32,"percent",250.22,"gal_per_ac","nitrogen (N)",74.8,"lb_per_ac","John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.","application rate value probably a typo - MS 3/26/24"
162,"2014",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","fertilizer","pre-emergence",2014-05-20,"injection","UAN","urea ammonium nitrate",32,"percent",250.22,"gal_per_ac","nitrogen (N)",74.8,"lb_per_ac","John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.","application rate value probably a typo - MS 3/26/24"
163,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","insecticide","pre-emergence",2014-05-20,"seed_treatment","Poncho 1250","clothianidin",NA,NA,1.25,"mg_ai_per_kernel",NA,NA,NA,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
164,"2014",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","insecticide","pre-emergence",2014-05-20,"seed_treatment","Poncho 1250","clothianidin",NA,NA,1.25,"mg_ai_per_kernel",NA,NA,NA,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
165,"2014",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","insecticide","pre-emergence",2014-05-20,"seed_treatment","Poncho 1250","clothianidin",NA,NA,1.25,"mg_ai_per_kernel",NA,NA,NA,"John Deere 6830","Kinze 3000 planter (6-row)","Planted corn (Pioneer P0448 AMX) in all corn plots (C2, CC, CCW) @ 34,600  seeds/acre using Kinze 6-row model 3000 planter and JD 6830 tractor. 104-day maturity with Roundup Ready, Liberty Link, Herculex XTRA, Acre MAX, and YieldGard traits. Seed treated with Poncho 1250 and PPST 250.22 gal/acre of 32% UAN applied with corn (=74.8 lb N/acre), injected into soil.",NA
166,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",NA,NA,0.48,"qt_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
167,"2014",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",NA,NA,0.48,"qt_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
168,"2014",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","Formula 1","ammonium sulfate + glycerol + ammonium sodium phosphate + ammonium sodium citrate + polyacrylamide copolymer",NA,NA,0.48,"qt_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
169,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","not_listed","ammonium sulfate ((NH4)2SO4)",NA,NA,53.68,"fl_oz_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
170,"2014",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","not_listed","ammonium sulfate ((NH4)2SO4)",NA,NA,53.68,"fl_oz_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
171,"2014",1,"C2","corn_soy_rotation","corn","1, 2, 3, 4","adjuvant","post-emergence",2014-06-06,"broadcast","not_listed","ammonium sulfate ((NH4)2SO4)",NA,NA,53.68,"fl_oz_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
172,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","corn_rye","1, 2, 3, 4","herbicide","post-emergence",2014-06-06,"broadcast","Callisto","mesotrione",NA,NA,3.04,"oz_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
173,"2014",2,"CC","continuous_corn_stover_removed","corn","1, 2, 3, 4","herbicide","post-emergence",2014-06-06,"broadcast","Callisto","mesotrione",NA,NA,3.04,"oz_per_ac",NA,NA,NA,"John Deere 6400","unspecified mounted sprayer (30-foot wide)","Herbicide application to corn (C2, CC, CCW): Callisto 3.04 fl. oz/acre + Roundup PowerMax 26.33 fl. oz/acre + ammonium sulfate 53.68 fl oz/acre  and Formula 1 (drift control) 0.48 qt/ac in a water carrier volume of 24.59 gal/acre.  JD 6400 tractor with 30' wide sprayer mounted on a 3-pt hitch.","water carrier volume of 24.59 gal/acre"
