"harvest_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","activity_date","activity","cutting_height_inches","tractor","implement","swath_value","swath_units","original_entry","comment"
90,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2012-04-17,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye shoots for biomass in CCW plots: 4 - areas x ~0.33 m2 each plot",NA
91,"2012",4,"P","prairie","1","prairie_biomass",2012-08-06,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
92,"2012",5,"PF","prairie_fertilized","1","prairie_biomass",2012-08-06,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
93,"2012",4,"P","prairie","2, 3","prairie_biomass",2012-08-07,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
94,"2012",5,"PF","prairie_fertilized","2, 3","prairie_biomass",2012-08-07,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
95,"2012",4,"P","prairie","4","prairie_biomass",2012-08-08,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
96,"2012",5,"PF","prairie_fertilized","4","prairie_biomass",2012-08-08,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest prairie plots +, - P and K 1m2 areas for biomass survey: Block 1 on 8-6, block 2-3 and 8-7, and block 4 on 8-8-12",NA
97,"2012",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_stover",2012-09-12,"collect_litter",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 60 bu/a. Hand harvest soybean grain yield was 58 bu/acre; Field HI = 49%; Dry stover yield (stems + pods) was 1,482 lb/acre",NA
98,"2012",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2012-09-12,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 60 bu/a. Hand harvest soybean grain yield was 58 bu/acre; Field HI = 49%; Dry stover yield (stems + pods) was 1,482 lb/acre",NA
99,"2012",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2012-09-12,"thresh",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index, Grain yield was 60 bu/a. Hand harvest soybean grain yield was 58 bu/acre; Field HI = 49%; Dry stover yield (stems + pods) was 1,482 lb/acre",NA
100,"2012",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_whole_plant",2012-09-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination. Dry harvest indices: CCW - 36%,  CC - 43%, and  C2 - 48%",NA
101,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2012-09-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination. Dry harvest indices: CCW - 36%,  CC - 43%, and  C2 - 48%",NA
102,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2012-09-19,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination. Dry harvest indices: CCW - 36%,  CC - 43%, and  C2 - 48%",NA
103,"2012",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2012-09-25,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot. Machine harvest grain yields in bu/acre: C2 = 171 , CC = 143, CCW = 94",NA
104,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2012-09-25,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot. Machine harvest grain yields in bu/acre: C2 = 171 , CC = 143, CCW = 94",NA
105,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2012-09-25,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot. Machine harvest grain yields in bu/acre: C2 = 171 , CC = 143, CCW = 94",NA
106,"2012",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2012-09-25,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest soybean plots with 5-row 4420 combine - 29 or 30 center rows weighed  (combine grain yield was 60 bu/acre)",NA
107,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2012-09-26,"chop_stover",NA,NA,"bat-wing rotary mower",15,"feet","Shredded corn stalks on CC and CCW with 15' batwing rotary mower",NA
108,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2012-09-26,"chop_stover",NA,NA,"bat-wing rotary mower",15,"feet","Shredded corn stalks on CC and CCW with 15' batwing rotary mower",NA
109,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2012-09-27,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 4.41 ton/a CC & 3.80 ton/a CCW.  Dry stover removed:  2.39 ton/a CC & 2.13 ton/a CCW. Avg stover removed was 2.26 dry tons/acre =  55.8% corn stover removed",NA
110,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2012-09-27,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 4.41 ton/a CC & 3.80 ton/a CCW.  Dry stover removed:  2.39 ton/a CC & 2.13 ton/a CCW. Avg stover removed was 2.26 dry tons/acre =  55.8% corn stover removed",NA
111,"2012",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2012-10-02,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
112,"2012",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2012-10-02,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
113,"2012",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2012-10-10,"mow","3.5",NA,"John Deere 5830 combine",12.5,"feet","Machine harvest Prairie plots with JD 5830 12.5' wide head, 3"" to 4"" cutting height; material dumped on S end of center isle. Dry wt: 1.23 ton/acre P and 2.32 ton/acre for PF",NA
114,"2012",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2012-10-10,"mow","3.5",NA,"John Deere 5830 combine",12.5,"feet","Machine harvest Prairie plots with JD 5830 12.5' wide head, 3"" to 4"" cutting height; material dumped on S end of center isle. Dry wt: 1.23 ton/acre P and 2.32 ton/acre for PF",NA
115,"2012",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2012-10-11,"collect_litter",NA,NA,NA,NA,NA,"Collect litter from 4 x 0.25m2 areas in each prairie plot",NA
116,"2012",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2012-10-11,"collect_litter",NA,NA,NA,NA,NA,"Collect litter from 4 x 0.25m2 areas in each prairie plot",NA
117,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2013-05-06,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye shoots for biomass in CCW plots: 4 - areas x ~0.33 m2 each plot",NA
118,"2013",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_stover",2013-09-30,"collect_litter",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index",NA
119,"2013",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_whole_plant",2013-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination.",NA
120,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_whole_plant",2013-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination.",NA
121,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_whole_plant",2013-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Hand harvest corn - two plants from each of four areas im each plot.  Used 8 represetatitive plants for shell ratio and harvest index determination.",NA
122,"2013",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2013-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index",NA
123,"2013",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_whole_plant",2013-09-30,"thresh",NA,NA,NA,NA,NA,"Harvest soybean areas (whole plants and abscised leaves) - four 12.5 ft2 areas from each plot and threshed.  - Weighed grain and stover for harvest index",NA
124,"2013",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2013-10-01,"harvest_grain_combine",NA,NA,"John Deere 4420 combine",5,"rows","Harvest soybean plots with 5-row 4420 combine - 30 center rows weighed  (combine grain yield was 43 bu/acre)",NA
125,"2013",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2013-10-09,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot.     Machine harvest grain yields in bu/acre: C2 = 170 , CC = 162, CCW =127",NA
126,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2013-10-09,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot.     Machine harvest grain yields in bu/acre: C2 = 170 , CC = 162, CCW =127",NA
127,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2013-10-09,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn with JD 9550 6-row combine, weighed center 24 rows from each plot.     Machine harvest grain yields in bu/acre: C2 = 170 , CC = 162, CCW =127",NA
128,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2013-10-11,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW with 15' flail chopper",NA
129,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2013-10-11,"chop_stover",NA,NA,"flail chopper",15,"feet","Shredded corn stalks on CC and CCW with 15' flail chopper",NA
130,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2013-10-14,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 3.76 ton/a CC & 3.44 ton/a CCW.  Dry stover removed:  1.96 ton/a CC & 1.75 ton/ac CCW. Average stover removed was 1.86 dry tons/acre =  52% corn stover removed",NA
131,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2013-10-14,"bale_stover",NA,NA,NA,NA,NA,"Rake and bale corn stover on CC and  CCW.  Dry stover yield was 3.76 ton/a CC & 3.44 ton/a CCW.  Dry stover removed:  1.96 ton/a CC & 1.75 ton/ac CCW. Average stover removed was 1.86 dry tons/acre =  52% corn stover removed",NA
132,"2013",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2013-10-15,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
133,"2013",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2013-10-15,"weigh_stover",NA,NA,NA,NA,NA,"Weighed corn stover bales",NA
134,"2013",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2013-10-28,"mow","3.5",NA,"John Deere 5830 combine",12.5,"feet","Machine harvest Prairie plots with JD 5830 12.5' wide head, 3"" to 4"" cutting height; material dumped on S end of center isle. Dry wt: 1.9 ton/acre P and 3.2 ton/acre for PF",NA
135,"2013",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2013-10-28,"mow","3.5",NA,"John Deere 5830 combine",12.5,"feet","Machine harvest Prairie plots with JD 5830 12.5' wide head, 3"" to 4"" cutting height; material dumped on S end of center isle. Dry wt: 1.9 ton/acre P and 3.2 ton/acre for PF",NA
136,"2013",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2013-11-01,"collect_litter",NA,NA,NA,NA,NA,"Collect litter from 4 x 0.25m2 areas in each prairie plot",NA
137,"2013",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2013-11-01,"collect_litter",NA,NA,NA,NA,NA,"Collect litter from 4 x 0.25m2 areas in each prairie plot",NA
138,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2014-05-09,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye shoots for biomass in CCW plots: 4 - areas x 0.28 m2 each per plot",NA
139,"2014",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2014-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn and soybean plots with 6-row JD 9550 combine - 24 center rows (0.2755 acres/plot) weighed using a Killibros 1160 weigh wagon and a JD 7730 tractor; moisture read on the combine.",NA
140,"2014",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2014-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn and soybean plots with 6-row JD 9550 combine - 24 center rows (0.2755 acres/plot) weighed using a Killibros 1160 weigh wagon and a JD 7730 tractor; moisture read on the combine.",NA
141,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2014-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn and soybean plots with 6-row JD 9550 combine - 24 center rows (0.2755 acres/plot) weighed using a Killibros 1160 weigh wagon and a JD 7730 tractor; moisture read on the combine.",NA
142,"2014",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2014-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Harvested corn and soybean plots with 6-row JD 9550 combine - 24 center rows (0.2755 acres/plot) weighed using a Killibros 1160 weigh wagon and a JD 7730 tractor; moisture read on the combine.",NA
143,"2014",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2014-10-21,"bale_stover",NA,"John Deere 6430","John Deere 458 Silage Special round baler",3.9,"feet","Raked corn stover in CC and CCW plots, then baled with JD 458 round baler and JD 6430 tractor. Bales weights determined by the baling machine. Samples collected for moisture determination.",NA
144,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2014-10-21,"bale_stover",NA,"John Deere 6430","John Deere 458 Silage Special round baler",3.9,"feet","Raked corn stover in CC and CCW plots, then baled with JD 458 round baler and JD 6430 tractor. Bales weights determined by the baling machine. Samples collected for moisture determination.",NA
145,"2014",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2014-10-21,"weigh_stover",NA,"John Deere 6430","John Deere 458 Silage Special round baler",3.9,"feet","Raked corn stover in CC and CCW plots, then baled with JD 458 round baler and JD 6430 tractor. Bales weights determined by the baling machine. Samples collected for moisture determination.",NA
146,"2014",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2014-10-21,"weigh_stover",NA,"John Deere 6430","John Deere 458 Silage Special round baler",3.9,"feet","Raked corn stover in CC and CCW plots, then baled with JD 458 round baler and JD 6430 tractor. Bales weights determined by the baling machine. Samples collected for moisture determination.",NA
147,"2014",4,"P","prairie","2, 3, 4","prairie_biomass",2014-11-14,"harvest_plant_hand",NA,NA,NA,NA,NA,"Machine harvest Prairie plots with JD 5830 12.5' wide head & Meyer model 3118 wagon, 6"" to 8"" cutting height. Plot 13 was harvested and chopped prairie was weighed by wagon mounted scale. For the remaining plots, quadrat sampling was required due to scale malfunction. Two quadrats were taken per plot (total area = 0.50m2).",NA
148,"2014",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2014-11-14,"harvest_plant_hand",NA,NA,NA,NA,NA,"Machine harvest Prairie plots with JD 5830 12.5' wide head & Meyer model 3118 wagon, 6"" to 8"" cutting height. Plot 13 was harvested and chopped prairie was weighed by wagon mounted scale. For the remaining plots, quadrat sampling was required due to scale malfunction. Two quadrats were taken per plot (total area = 0.50m2).",NA
149,"2014",4,"P","prairie","1","prairie_biomass",2014-11-14,"mow","7",NA,"John Deere 5830 combine",12.5,"feet","Machine harvest Prairie plots with JD 5830 12.5' wide head & Meyer model 3118 wagon, 6"" to 8"" cutting height. Plot 13 was harvested and chopped prairie was weighed by wagon mounted scale. For the remaining plots, quadrat sampling was required due to scale malfunction. Two quadrats were taken per plot (total area = 0.50m2).",NA
150,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2015-04-28,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye in all CCW plots.  4 x 0.28m2 quadrats were sampled in each plot.  Rye will be dried in lab oven for dry biomass weight measurements",NA
151,"2015",4,"P","prairie","3","prairie_biomass",2015-09-24,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie Biomass samples was started in plots 31 and 32.  8-0.28m2 quadrats per plot were taken (designated by quadrant, NW, NE, SE, SW).  Plants were separated by ""top"" and ""bottom"". First, the tops were sampled by cutting the plants at about 6"" above ground.  Then, bottoms were sampled by clipping at ground level. Tops and bottoms were bagged and weighed separatly.",NA
152,"2015",5,"PF","prairie_fertilized","3","prairie_biomass",2015-09-24,"harvest_plant_hand",NA,NA,NA,NA,NA,"Prairie Biomass samples was started in plots 31 and 32.  8-0.28m2 quadrats per plot were taken (designated by quadrant, NW, NE, SE, SW).  Plants were separated by ""top"" and ""bottom"". First, the tops were sampled by cutting the plants at about 6"" above ground.  Then, bottoms were sampled by clipping at ground level. Tops and bottoms were bagged and weighed separatly.",NA
153,"2015",4,"P","prairie","4","prairie_biomass",2015-09-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie in plots 41 and 46 (see 9/24 for details)",NA
154,"2015",5,"PF","prairie_fertilized","4","prairie_biomass",2015-09-29,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie in plots 41 and 46 (see 9/24 for details)",NA
155,"2015",4,"P","prairie","2","prairie_biomass",2015-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie biomass in plots 23 and 24 (see 9/24 for details)",NA
156,"2015",5,"PF","prairie_fertilized","2","prairie_biomass",2015-09-30,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie biomass in plots 23 and 24 (see 9/24 for details)",NA
157,"2015",4,"P","prairie","1","prairie_biomass",2015-10-01,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie biomass in plots 13 and 15 (see 9/24 for details)",NA
158,"2015",5,"PF","prairie_fertilized","1","prairie_biomass",2015-10-01,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled prairie biomass in plots 13 and 15 (see 9/24 for details)",NA
159,"2015",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2015-10-13,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine with 6 row head.  The middle 24 rows of each plot were used for yield and moisture data. Moisture data was obtained from the combine, weights were obtained from a KB 1160 weigh wagon on a plot by plot basis.",NA
160,"2015",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2015-10-13,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine with 6 row head.  The middle 24 rows of each plot were used for yield and moisture data. Moisture data was obtained from the combine, weights were obtained from a KB 1160 weigh wagon on a plot by plot basis.",NA
161,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2015-10-13,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine with 6 row head.  The middle 24 rows of each plot were used for yield and moisture data. Moisture data was obtained from the combine, weights were obtained from a KB 1160 weigh wagon on a plot by plot basis.",NA
162,"2015",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2015-10-14,"chop_stover",NA,NA,"John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all corn plots with a John Deere 6400 tractor and 115 chopper/flail mower.",NA
163,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2015-10-14,"chop_stover",NA,NA,"John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all corn plots with a John Deere 6400 tractor and 115 chopper/flail mower.",NA
164,"2015",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2015-10-15,"bale_stover",NA,"John Deere 6125R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled on CC and CCW corn plots with a John Deere 6125R tractor and 458 baler.",NA
165,"2015",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2015-10-15,"bale_stover",NA,"John Deere 6125R","John Deere 458 Silage Special round baler",3.9,"feet","Stover raked and baled on CC and CCW corn plots with a John Deere 6125R tractor and 458 baler.",NA
166,"2015",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2015-10-19,"harvest_grain_combine",NA,NA,"John Deere 9450 combine",NA,NA,"Soybeans harvested with John Deere 9450 plot combine. The middle 24 rows of each plot were used for yield and moisture data. Yield and moisture were both obtained from the plot combine.  In plot 22, only the center 12 rows were used for data, due to a combine malfunction.",NA
167,"2015",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2015-10-30,"mow","7",NA,"John Deere 5830 combine",NA,NA,"Prairie was harvested on 10/30/2015 with at John Deere 5830 Combine at a height of approximatly 6-8""",NA
168,"2015",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2015-10-30,"mow","7",NA,"John Deere 5830 combine",NA,NA,"Prairie was harvested on 10/30/2015 with at John Deere 5830 Combine at a height of approximatly 6-8""",NA
169,"2015",4,"P","prairie","1, 2, 3, 4","prairie_biomass",2015-10-30,"weigh_biomass",NA,NA,"Avery Weigh-Tronix scale",NA,NA,"Weights were obtained from a wagon using an Avery Weigh-tronix scale.  4 passes of the combine was used for data collection.",NA
170,"2015",5,"PF","prairie_fertilized","1, 2, 3, 4","prairie_biomass",2015-10-30,"weigh_biomass",NA,NA,"Avery Weigh-Tronix scale",NA,NA,"Weights were obtained from a wagon using an Avery Weigh-tronix scale.  4 passes of the combine was used for data collection.",NA
171,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2016-04-18,"harvest_plant_hand",NA,NA,NA,NA,NA,"Sampled rye in CCW plots for above ground biomass. 4 x 0.28m2 quadrats taken per plot.",NA
172,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2016-04-25,"harvest_plant_hand",NA,NA,NA,NA,NA,"Re-sampled rye in CCW plots. 4 x 0.28m2 quadrats taken per plot.",NA
173,"2016",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn_grain",2016-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine and 6 row head. Weights were taken from a Kill Bros. 1100 weigh wagon and moisture readings were taken from the combine. The middle 24 rows of each plots were used for data collection.",NA
174,"2016",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_grain",2016-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine and 6 row head. Weights were taken from a Kill Bros. 1100 weigh wagon and moisture readings were taken from the combine. The middle 24 rows of each plots were used for data collection.",NA
175,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_grain",2016-10-10,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",6,"rows","Corn harvested with John Deere 9550 combine and 6 row head. Weights were taken from a Kill Bros. 1100 weigh wagon and moisture readings were taken from the combine. The middle 24 rows of each plots were used for data collection.",NA
176,"2016",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean_grain",2016-10-17,"harvest_grain_combine",NA,NA,"John Deere 9550 combine",10,"rows","Soybeans harvested with John Deere 9550 and 10 row (25ft.) grain head. Weights were taken from a Kill Bros. 1100 weigh wagon and moisture readings were taken from the combine. The middle 20 rows of each plot were used for data collection.",NA
177,"2016",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2016-10-24,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all corn plots.  John Deere 6450 tractor and John Deere 115 flail mower were used.",NA
178,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2016-10-24,"chop_stover",NA,"John Deere 6450","John Deere 115 drawn flail shredder",15,"feet","Stalks were chopped on all corn plots.  John Deere 6450 tractor and John Deere 115 flail mower were used.",NA
179,"2016",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2016-10-25,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on all CC and CCW plots.  Samples were taken for moisture analysis, bale weights obtained from the baler. John Deere 6125 tractor and rake used to rake stover. John Deere 6140r tractor and John Deere 458 Silage Special baler were used to bale stover.",NA
180,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2016-10-25,"bale_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on all CC and CCW plots.  Samples were taken for moisture analysis, bale weights obtained from the baler. John Deere 6125 tractor and rake used to rake stover. John Deere 6140r tractor and John Deere 458 Silage Special baler were used to bale stover.",NA
181,"2016",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn_stover",2016-10-25,"weigh_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on all CC and CCW plots.  Samples were taken for moisture analysis, bale weights obtained from the baler. John Deere 6125 tractor and rake used to rake stover. John Deere 6140r tractor and John Deere 458 Silage Special baler were used to bale stover.",NA
182,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn_stover",2016-10-25,"weigh_stover",NA,"John Deere 6140R","John Deere 458 Silage Special round baler",3.9,"feet","Stover was raked and baled on all CC and CCW plots.  Samples were taken for moisture analysis, bale weights obtained from the baler. John Deere 6125 tractor and rake used to rake stover. John Deere 6140r tractor and John Deere 458 Silage Special baler were used to bale stover.",NA
